best_epoch,training mae loss,validation mae loss,training time,validation time
1,0.4798952387230019,"tensor(0.3812, dtype=torch.float64)",0:01:31,0:00:02
2,0.3563577024974925,"tensor(0.3186, dtype=torch.float64)",0:01:26,0:00:02
3,0.2960951684598616,"tensor(0.3067, dtype=torch.float64)",0:01:26,0:00:02
4,0.25826237007646213,"tensor(0.2542, dtype=torch.float64)",0:01:27,0:00:02
5,0.22994153069902673,"tensor(0.2457, dtype=torch.float64)",0:01:27,0:00:02
6,0.2080900353869812,"tensor(0.2169, dtype=torch.float64)",0:01:27,0:00:02
7,0.19138922617907198,"tensor(0.2075, dtype=torch.float64)",0:01:26,0:00:02
8,0.1789769117542793,"tensor(0.1961, dtype=torch.float64)",0:01:26,0:00:02
10,0.1611346171992878,"tensor(0.1764, dtype=torch.float64)",0:01:27,0:00:02
13,0.13945157181215267,"tensor(0.1579, dtype=torch.float64)",0:01:28,0:00:02
14,0.13408574086516664,"tensor(0.1564, dtype=torch.float64)",0:01:27,0:00:02
18,0.12088358294994384,"tensor(0.1442, dtype=torch.float64)",0:01:28,0:00:02
19,0.11980095271304006,"tensor(0.1367, dtype=torch.float64)",0:01:27,0:00:02
24,0.10481717059255288,"tensor(0.1172, dtype=torch.float64)",0:01:28,0:00:02
28,0.09923140050494741,"tensor(0.1163, dtype=torch.float64)",0:01:28,0:00:02
31,0.09561254619622404,"tensor(0.1018, dtype=torch.float64)",0:01:28,0:00:02
36,0.08923577999468367,"tensor(0.0936, dtype=torch.float64)",0:01:28,0:00:02
45,0.08269255925305914,"tensor(0.0903, dtype=torch.float64)",0:01:28,0:00:02
53,0.07747263834938917,"tensor(0.0902, dtype=torch.float64)",0:01:28,0:00:02
54,0.07864763154859741,"tensor(0.0885, dtype=torch.float64)",0:01:26,0:00:02
57,0.07912236281371478,"tensor(0.0866, dtype=torch.float64)",0:01:27,0:00:02
58,0.07830696911641037,"tensor(0.0806, dtype=torch.float64)",0:01:26,0:00:02
70,0.07423622287341028,"tensor(0.0778, dtype=torch.float64)",0:01:28,0:00:02
71,0.07343522025331346,"tensor(0.0755, dtype=torch.float64)",0:01:26,0:00:02
76,0.0721807397086565,"tensor(0.0715, dtype=torch.float64)",0:01:27,0:00:02
92,0.0727667995071082,"tensor(0.0710, dtype=torch.float64)",0:01:27,0:00:02
98,0.07091627937113057,"tensor(0.0694, dtype=torch.float64)",0:01:27,0:00:02
100,0.07023051482972928,"tensor(0.0673, dtype=torch.float64)",0:01:26,0:00:02
107,0.07088964520834402,"tensor(0.0672, dtype=torch.float64)",0:01:26,0:00:02
119,0.06856345894839783,"tensor(0.0660, dtype=torch.float64)",0:01:26,0:00:02
129,0.06694473517743235,"tensor(0.0643, dtype=torch.float64)",0:01:26,0:00:02
138,0.0650982787627827,"tensor(0.0630, dtype=torch.float64)",0:01:26,0:00:02
142,0.06481745235631226,"tensor(0.0610, dtype=torch.float64)",0:01:26,0:00:02
147,0.06386910660547632,"tensor(0.0587, dtype=torch.float64)",0:01:27,0:00:02
152,0.06362151491085531,"tensor(0.0587, dtype=torch.float64)",0:01:27,0:00:02
166,0.06011236740090946,"tensor(0.0577, dtype=torch.float64)",0:01:27,0:00:02
183,0.057504446544430494,"tensor(0.0544, dtype=torch.float64)",0:01:27,0:00:02
209,0.05263298474904315,"tensor(0.0542, dtype=torch.float64)",0:01:27,0:00:02
215,0.052727511245870204,"tensor(0.0530, dtype=torch.float64)",0:01:27,0:00:02
220,0.052289134717959804,"tensor(0.0501, dtype=torch.float64)",0:01:27,0:00:02
233,0.0493329833720723,"tensor(0.0499, dtype=torch.float64)",0:01:27,0:00:02
250,0.04758315845064939,"tensor(0.0487, dtype=torch.float64)",0:01:27,0:00:02
256,0.04612443213799632,"tensor(0.0483, dtype=torch.float64)",0:01:27,0:00:02
262,0.047146678770342794,"tensor(0.0476, dtype=torch.float64)",0:01:27,0:00:02
265,0.046019760713299954,"tensor(0.0464, dtype=torch.float64)",0:01:27,0:00:02
278,0.044866115672132015,"tensor(0.0445, dtype=torch.float64)",0:01:27,0:00:02
347,0.03695464397568432,"tensor(0.0439, dtype=torch.float64)",0:01:27,0:00:02
365,0.03558235915460744,"tensor(0.0437, dtype=torch.float64)",0:01:27,0:00:02
430,0.0312670361699666,"tensor(0.0428, dtype=torch.float64)",0:01:27,0:00:02
