best_epoch,training mae loss,validation mae loss,training time,validation time
1,0.4995172106247799,"tensor(0.3971, dtype=torch.float64)",0:01:33,0:00:02
2,0.37568659271129823,"tensor(0.3312, dtype=torch.float64)",0:01:28,0:00:02
3,0.32481524727008787,"tensor(0.3023, dtype=torch.float64)",0:01:28,0:00:02
4,0.2933609748585632,"tensor(0.2818, dtype=torch.float64)",0:01:28,0:00:02
5,0.2700605100099523,"tensor(0.2735, dtype=torch.float64)",0:01:28,0:00:02
6,0.2541393940821025,"tensor(0.2571, dtype=torch.float64)",0:01:27,0:00:02
7,0.23992536740095324,"tensor(0.2470, dtype=torch.float64)",0:01:27,0:00:02
8,0.2287824533666466,"tensor(0.2348, dtype=torch.float64)",0:01:27,0:00:02
10,0.2100923392682364,"tensor(0.2312, dtype=torch.float64)",0:01:28,0:00:02
12,0.19035981049046005,"tensor(0.2048, dtype=torch.float64)",0:01:28,0:00:02
17,0.15972375711781397,"tensor(0.1934, dtype=torch.float64)",0:01:28,0:00:02
18,0.15476893851329682,"tensor(0.1826, dtype=torch.float64)",0:01:27,0:00:02
21,0.14114309723610174,"tensor(0.1605, dtype=torch.float64)",0:01:28,0:00:02
23,0.13156909870890204,"tensor(0.1557, dtype=torch.float64)",0:01:28,0:00:02
28,0.12030876743458806,"tensor(0.1422, dtype=torch.float64)",0:01:28,0:00:02
30,0.11471640221600604,"tensor(0.1406, dtype=torch.float64)",0:01:28,0:00:02
32,0.11099482412020045,"tensor(0.1358, dtype=torch.float64)",0:01:28,0:00:02
43,0.09450674653563276,"tensor(0.1281, dtype=torch.float64)",0:01:34,0:00:03
46,0.09238019116358329,"tensor(0.1160, dtype=torch.float64)",0:01:37,0:00:03
49,0.09122379585682226,"tensor(0.1115, dtype=torch.float64)",0:01:37,0:00:03
63,0.07990788016690076,"tensor(0.1003, dtype=torch.float64)",0:01:31,0:00:02
65,0.0798445362593853,"tensor(0.1000, dtype=torch.float64)",0:01:31,0:00:02
75,0.07329099134812644,"tensor(0.0876, dtype=torch.float64)",0:01:36,0:00:03
92,0.06964710187052711,"tensor(0.0769, dtype=torch.float64)",0:01:31,0:00:02
112,0.06622933702850829,"tensor(0.0756, dtype=torch.float64)",0:01:36,0:00:03
125,0.06374420235740309,"tensor(0.0690, dtype=torch.float64)",0:01:36,0:00:03
152,0.059028718839394534,"tensor(0.0679, dtype=torch.float64)",0:01:36,0:00:03
159,0.057151468972511145,"tensor(0.0645, dtype=torch.float64)",0:01:36,0:00:03
193,0.05247573761197073,"tensor(0.0631, dtype=torch.float64)",0:01:29,0:00:02
203,0.05132612516724385,"tensor(0.0615, dtype=torch.float64)",0:01:31,0:00:03
237,0.04708605048697899,"tensor(0.0599, dtype=torch.float64)",0:01:35,0:00:03
238,0.04785743905226709,"tensor(0.0566, dtype=torch.float64)",0:01:33,0:00:03
277,0.04223346365065232,"tensor(0.0563, dtype=torch.float64)",0:01:29,0:00:02
278,0.044463416137691086,"tensor(0.0520, dtype=torch.float64)",0:01:28,0:00:02
301,0.04196845671284858,"tensor(0.0502, dtype=torch.float64)",0:01:29,0:00:02
307,0.040405130468893276,"tensor(0.0486, dtype=torch.float64)",0:01:28,0:00:02
