best_epoch,training mae loss,validation mae loss,training time,validation time
1,81.95535514560595,"tensor(68.7400, dtype=torch.float64)",0:01:06,0:00:05
2,81.75942911952151,"tensor(64.0633, dtype=torch.float64)",0:01:05,0:00:05
3,77.13828856799321,"tensor(58.8631, dtype=torch.float64)",0:01:05,0:00:05
4,76.03102900642692,"tensor(52.6727, dtype=torch.float64)",0:01:05,0:00:05
5,72.80147928081749,"tensor(46.0316, dtype=torch.float64)",0:01:05,0:00:05
6,70.90030308116597,"tensor(40.3667, dtype=torch.float64)",0:01:05,0:00:05
7,69.0410500324396,"tensor(35.9623, dtype=torch.float64)",0:01:05,0:00:05
14,66.42235222366523,"tensor(35.1690, dtype=torch.float64)",0:01:05,0:00:05
20,64.87651315208078,"tensor(34.9017, dtype=torch.float64)",0:01:05,0:00:05
30,65.02408473193978,"tensor(34.8488, dtype=torch.float64)",0:01:05,0:00:05
31,64.2596472289209,"tensor(34.3408, dtype=torch.float64)",0:01:05,0:00:05
32,63.91183771717954,"tensor(33.7618, dtype=torch.float64)",0:01:05,0:00:05
33,62.80240541672449,"tensor(33.3888, dtype=torch.float64)",0:01:05,0:00:05
35,62.59434312937699,"tensor(33.1543, dtype=torch.float64)",0:01:05,0:00:05
37,63.01076019278912,"tensor(32.9453, dtype=torch.float64)",0:01:05,0:00:05
40,60.73677913317499,"tensor(32.5274, dtype=torch.float64)",0:01:05,0:00:05
60,51.036149612336814,"tensor(30.8361, dtype=torch.float64)",0:01:05,0:00:05
61,48.34320253586412,"tensor(30.1430, dtype=torch.float64)",0:01:05,0:00:05
69,45.46718128190114,"tensor(27.9926, dtype=torch.float64)",0:01:05,0:00:05
70,45.850433022991055,"tensor(26.6402, dtype=torch.float64)",0:01:05,0:00:05
