best_epoch,training mae loss,validation mae loss,training time,validation time
1,316.58686266767796,"tensor(311.0502, dtype=torch.float64)",0:00:29,0:00:00
2,305.82656220982,"tensor(308.2282, dtype=torch.float64)",0:00:27,0:00:00
3,300.2510183374428,"tensor(301.7771, dtype=torch.float64)",0:00:27,0:00:00
5,282.51909835517864,"tensor(298.0068, dtype=torch.float64)",0:00:27,0:00:00
6,261.4352326801707,"tensor(294.6477, dtype=torch.float64)",0:00:27,0:00:00
7,237.6758097481152,"tensor(280.4127, dtype=torch.float64)",0:00:27,0:00:00
8,226.60409137363445,"tensor(261.6098, dtype=torch.float64)",0:00:27,0:00:00
9,217.07406076728134,"tensor(258.5177, dtype=torch.float64)",0:00:27,0:00:00
10,210.4689079670665,"tensor(222.3772, dtype=torch.float64)",0:00:27,0:00:00
11,201.67227809310825,"tensor(217.4085, dtype=torch.float64)",0:00:27,0:00:00
12,192.7387820237663,"tensor(207.5566, dtype=torch.float64)",0:00:27,0:00:00
14,171.97316226645788,"tensor(191.6777, dtype=torch.float64)",0:00:27,0:00:00
15,159.2098342841498,"tensor(162.6737, dtype=torch.float64)",0:00:27,0:00:00
17,142.0023263720943,"tensor(161.0099, dtype=torch.float64)",0:00:27,0:00:00
18,131.8652473600889,"tensor(155.7033, dtype=torch.float64)",0:00:27,0:00:00
19,121.22359319747414,"tensor(144.4539, dtype=torch.float64)",0:00:27,0:00:00
26,101.42136535948181,"tensor(131.3512, dtype=torch.float64)",0:00:27,0:00:00
28,96.13399599636064,"tensor(115.5113, dtype=torch.float64)",0:00:27,0:00:00
29,91.32030860898452,"tensor(100.7663, dtype=torch.float64)",0:00:27,0:00:00
32,82.31218122715308,"tensor(88.4647, dtype=torch.float64)",0:00:27,0:00:00
44,70.50936140002223,"tensor(84.4075, dtype=torch.float64)",0:00:27,0:00:00
45,68.10816534885618,"tensor(75.9741, dtype=torch.float64)",0:00:27,0:00:00
48,71.84636255564254,"tensor(69.0294, dtype=torch.float64)",0:00:27,0:00:00
58,58.646652281342526,"tensor(67.0862, dtype=torch.float64)",0:00:27,0:00:00
66,57.76491386595282,"tensor(62.4249, dtype=torch.float64)",0:00:27,0:00:00
78,45.34488581506018,"tensor(58.2953, dtype=torch.float64)",0:00:27,0:00:00
82,44.52436517735367,"tensor(51.7965, dtype=torch.float64)",0:00:27,0:00:00
86,40.08410807093021,"tensor(50.8335, dtype=torch.float64)",0:00:27,0:00:00
89,37.87224106970812,"tensor(46.7385, dtype=torch.float64)",0:00:27,0:00:00
90,40.32217159192096,"tensor(42.3512, dtype=torch.float64)",0:00:27,0:00:00
127,30.407801013158338,"tensor(40.8212, dtype=torch.float64)",0:00:27,0:00:00
143,27.39892118660112,"tensor(39.6348, dtype=torch.float64)",0:00:27,0:00:00
190,25.44300744506992,"tensor(39.3266, dtype=torch.float64)",0:00:27,0:00:00
216,20.839352251680047,"tensor(39.0216, dtype=torch.float64)",0:00:27,0:00:00
226,18.943541518383025,"tensor(38.5398, dtype=torch.float64)",0:00:27,0:00:00
229,20.155355792168056,"tensor(38.0001, dtype=torch.float64)",0:00:27,0:00:00
230,19.965262261886107,"tensor(37.6367, dtype=torch.float64)",0:00:27,0:00:00
239,19.232656229422414,"tensor(37.2952, dtype=torch.float64)",0:00:27,0:00:00
241,17.94460260030411,"tensor(37.2233, dtype=torch.float64)",0:00:27,0:00:00
