best_epoch,training mae loss,validation mae loss,training time,validation time
1,312.07803733261295,"tensor(312.2055, dtype=torch.float64)",0:02:10,0:00:03
2,302.88184120426524,"tensor(300.7501, dtype=torch.float64)",0:02:01,0:00:03
3,293.21234868735706,"tensor(288.0268, dtype=torch.float64)",0:02:00,0:00:03
4,270.54311928783693,"tensor(258.9087, dtype=torch.float64)",0:02:01,0:00:03
5,234.28523933120826,"tensor(258.6972, dtype=torch.float64)",0:01:59,0:00:03
6,211.12188918834693,"tensor(233.9837, dtype=torch.float64)",0:01:59,0:00:03
7,193.5868771198367,"tensor(205.8971, dtype=torch.float64)",0:02:00,0:00:03
8,181.3006720218997,"tensor(204.8872, dtype=torch.float64)",0:02:00,0:00:03
9,167.7351102592149,"tensor(181.2601, dtype=torch.float64)",0:01:59,0:00:03
10,153.38068705519376,"tensor(175.1951, dtype=torch.float64)",0:02:00,0:00:03
11,135.1807931456402,"tensor(160.3910, dtype=torch.float64)",0:01:58,0:00:03
12,123.17035316826056,"tensor(141.2637, dtype=torch.float64)",0:01:58,0:00:03
18,93.80970894597263,"tensor(109.4095, dtype=torch.float64)",0:01:59,0:00:03
22,84.38347244126511,"tensor(96.4232, dtype=torch.float64)",0:01:58,0:00:03
24,76.6840144682277,"tensor(90.9759, dtype=torch.float64)",0:01:58,0:00:03
34,64.78598731804658,"tensor(82.4949, dtype=torch.float64)",0:01:58,0:00:03
37,66.04559670481628,"tensor(70.8583, dtype=torch.float64)",0:01:58,0:00:03
54,55.16477812936336,"tensor(68.1047, dtype=torch.float64)",0:02:00,0:00:03
55,57.78433255646521,"tensor(64.1620, dtype=torch.float64)",0:02:00,0:00:03
58,70.07134999674321,"tensor(59.3590, dtype=torch.float64)",0:02:00,0:00:03
68,46.85685663373582,"tensor(52.2477, dtype=torch.float64)",0:02:00,0:00:03
80,51.929129897857216,"tensor(51.8863, dtype=torch.float64)",0:01:59,0:00:03
82,60.48219725930185,"tensor(46.8359, dtype=torch.float64)",0:01:59,0:00:03
84,45.74745801625836,"tensor(45.9420, dtype=torch.float64)",0:01:59,0:00:03
89,43.34946175979523,"tensor(42.9956, dtype=torch.float64)",0:01:58,0:00:03
91,41.39788597116929,"tensor(38.8678, dtype=torch.float64)",0:01:59,0:00:03
158,31.508906723619308,"tensor(33.9255, dtype=torch.float64)",0:02:00,0:00:03
235,28.13948771541212,"tensor(30.7815, dtype=torch.float64)",0:01:58,0:00:03
250,27.345819527172708,"tensor(30.7611, dtype=torch.float64)",0:01:59,0:00:03
255,22.779618315603514,"tensor(30.4422, dtype=torch.float64)",0:01:59,0:00:03
268,18.981382631653045,"tensor(29.5280, dtype=torch.float64)",0:01:59,0:00:03
