best_epoch,training mae loss,validation mae loss,training time,validation time
1,309.21745126031533,"tensor(298.4102, dtype=torch.float64)",0:00:07,0:00:00
2,301.0791605698103,"tensor(295.0664, dtype=torch.float64)",0:00:06,0:00:00
3,288.4097249451676,"tensor(283.2735, dtype=torch.float64)",0:00:06,0:00:00
4,279.12782015556905,"tensor(275.2815, dtype=torch.float64)",0:00:06,0:00:00
5,264.9930085895022,"tensor(271.5755, dtype=torch.float64)",0:00:06,0:00:00
6,248.8051865161869,"tensor(270.6742, dtype=torch.float64)",0:00:06,0:00:00
7,239.81604329084996,"tensor(266.6495, dtype=torch.float64)",0:00:06,0:00:00
8,230.10842280330826,"tensor(248.9278, dtype=torch.float64)",0:00:06,0:00:00
9,217.35092706937849,"tensor(237.3192, dtype=torch.float64)",0:00:06,0:00:00
11,199.89705062615204,"tensor(209.0512, dtype=torch.float64)",0:00:06,0:00:00
12,189.03525692917367,"tensor(206.0452, dtype=torch.float64)",0:00:06,0:00:00
13,183.99109457381186,"tensor(204.9068, dtype=torch.float64)",0:00:06,0:00:00
14,172.8015373633161,"tensor(188.8420, dtype=torch.float64)",0:00:06,0:00:00
16,160.69460159460294,"tensor(175.0416, dtype=torch.float64)",0:00:06,0:00:00
17,153.64599118843753,"tensor(174.1861, dtype=torch.float64)",0:00:06,0:00:00
19,134.06886544712273,"tensor(159.0610, dtype=torch.float64)",0:00:06,0:00:00
20,128.3109787642212,"tensor(146.8247, dtype=torch.float64)",0:00:06,0:00:00
22,113.3148732936743,"tensor(137.1535, dtype=torch.float64)",0:00:06,0:00:00
23,108.13313911584169,"tensor(126.2399, dtype=torch.float64)",0:00:06,0:00:00
24,109.29487434584293,"tensor(122.7516, dtype=torch.float64)",0:00:06,0:00:00
25,106.27885581218128,"tensor(114.9194, dtype=torch.float64)",0:00:06,0:00:00
27,106.46572297918823,"tensor(107.6610, dtype=torch.float64)",0:00:06,0:00:00
30,89.55303584953182,"tensor(98.2014, dtype=torch.float64)",0:00:06,0:00:00
32,80.84487275168783,"tensor(93.1833, dtype=torch.float64)",0:00:06,0:00:00
37,75.26773329994155,"tensor(91.1961, dtype=torch.float64)",0:00:06,0:00:00
41,66.29914319316971,"tensor(87.0807, dtype=torch.float64)",0:00:06,0:00:00
48,54.92065225847719,"tensor(62.7569, dtype=torch.float64)",0:00:06,0:00:00
60,52.63119447225455,"tensor(60.1218, dtype=torch.float64)",0:00:06,0:00:00
61,48.35313370355806,"tensor(45.7143, dtype=torch.float64)",0:00:06,0:00:00
75,52.28207614884255,"tensor(44.2281, dtype=torch.float64)",0:00:06,0:00:00
108,35.484044200363265,"tensor(42.1280, dtype=torch.float64)",0:00:06,0:00:00
132,36.32726414686409,"tensor(40.4191, dtype=torch.float64)",0:00:06,0:00:00
139,34.57694639297398,"tensor(38.6561, dtype=torch.float64)",0:00:06,0:00:00
140,33.587300813719764,"tensor(38.4836, dtype=torch.float64)",0:00:06,0:00:00
172,32.123742322232246,"tensor(38.4711, dtype=torch.float64)",0:00:06,0:00:00
173,28.84007807155295,"tensor(34.3036, dtype=torch.float64)",0:00:06,0:00:00
