best_epoch,training mae loss,validation mae loss,training time,validation time
1,0.28448246616072054,"tensor(0.2617, dtype=torch.float64)",0:05:43,0:00:02
2,0.23081488260713437,"tensor(0.2104, dtype=torch.float64)",0:05:39,0:00:02
3,0.1972326453706404,"tensor(0.2010, dtype=torch.float64)",0:05:45,0:00:02
4,0.1815329040689955,"tensor(0.1874, dtype=torch.float64)",0:05:47,0:00:02
5,0.170046566668017,"tensor(0.1710, dtype=torch.float64)",0:05:42,0:00:02
7,0.15347179741402822,"tensor(0.1558, dtype=torch.float64)",0:05:36,0:00:02
9,0.14504653665016737,"tensor(0.1552, dtype=torch.float64)",0:05:36,0:00:02
10,0.14212364052536028,"tensor(0.1461, dtype=torch.float64)",0:05:31,0:00:02
12,0.13357264625091617,"tensor(0.1445, dtype=torch.float64)",0:05:29,0:00:02
13,0.1317798288610587,"tensor(0.1435, dtype=torch.float64)",0:05:30,0:00:02
14,0.1293425115865764,"tensor(0.1395, dtype=torch.float64)",0:05:30,0:00:02
15,0.12648476388795535,"tensor(0.1385, dtype=torch.float64)",0:05:31,0:00:02
17,0.12319016595293429,"tensor(0.1335, dtype=torch.float64)",0:05:29,0:00:02
23,0.1137634141546099,"tensor(0.1285, dtype=torch.float64)",0:05:28,0:00:02
